title,subtitle,price,image,tag,price_range
Nike Vomero 18,Men's Road Running Shoes,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/47c3d001-a95c-4805-9c5c-c16be4776b1b/NIKE+VOMERO+18.png",Bestseller,expensive
Nike Vomero 18,Men's Road Running Shoes,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/88c35e4e-9a89-4ced-8247-c194da41b173/NIKE+VOMERO+18.png",Sustainable Materials,expensive
Nike Pegasus 41,Men's Road Running Shoes,200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8312e20d-5b44-4b90-a355-1f8397f74d1a/AIR+ZOOM+PEGASUS+41.png",Bestseller,expensive
Nike Vomero 18,Men's Road Running Shoes,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/33c43ef2-1454-4ea1-a0f4-8f793c508dd2/NIKE+VOMERO+18.png",Bestseller,expensive
Nike Field General 'Butter',Women's Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f2d3d8b2-48a3-4fcb-b1c3-739ab79cd13f/WMNS+NIKE+FIELD+GENERAL.png",,affordable
Nike Field General 'Ref',Men's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9b6f1471-47c4-4feb-920f-ef8dd5ad3613/NIKE+FIELD+GENERAL.png",,affordable
Nike Field General Suede,Men's Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/66176125-919c-4d1e-98be-f96a2e064d00/NIKE+FIELD+GENERAL.png",,affordable
Nike Field General Suede,Men's Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ec3cc26a-d86c-4435-ab85-943429ab73bd/NIKE+FIELD+GENERAL.png",,affordable
Nike Air Foamposite One,Men's Shoes,340,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ae12e87c-8195-42e1-a499-641a37ffe318/AIR+FOAMPOSITE+ONE.png",Available in SNKRS,expensive
Nike Air Force 1 '07,Men's Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4f37fca8-6bce-43e7-ad07-f57ae3c13142/AIR+FORCE+1+%2707.png",Bestseller,affordable
Nike Air Force 1 '07,Men's Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5daa00d9-afae-4125-a95c-fc71923b81c3/AIR+FORCE+1+%2707.png",Bestseller,affordable
Nike T90 SP,Men's Shoes,150,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bdcdafec-8c2a-4173-85ab-9d6c1dc1cb70/T90+SP.png",Available in SNKRS,affordable
Nike Alphafly 3,Men's Road Racing Shoes,390,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d447f58e-ccf5-4675-8b6e-ef7a2db5a51f/AIR+ZOOM+ALPHAFLY+NEXT%25+3.png",Bestseller,expensive
Nike Pegasus 41,Men's Road Running Shoes,200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/58107a36-71f1-432d-b1fc-585ee9dec7c0/AIR+ZOOM+PEGASUS+41.png",Bestseller,expensive
Nike C1TY Premium CORDURA®,Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fe0ff39e-09c9-4c29-ad4c-0ad2ab8fcf4e/NIKE+C1TY+PRM.png",Bestseller,affordable
Nike C1TY Premium CORDURA®,Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1e1528b9-2c5d-454e-b9e1-9880b739ee64/NIKE+C1TY+PRM.png",Bestseller,affordable
"Book 1 ""Blue Blood""",Basketball Shoes,210,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fa6b662a-6a24-427f-b54a-c99374f4546d/BOOK+1+BLUE.png",,expensive
Nike Dunk Low,Men's Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4eae23a9-b240-4a53-98c7-d5502fe3f7dc/NIKE+DUNK+LOW+NN.png",Bestseller,affordable
Nike Downshifter 13,Men's Road Running Shoes,100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d218c4a1-05af-41ec-8df2-d5a19cceb616/NIKE+DOWNSHIFTER+13.png",Bestseller,expensive
Nike G.T. Cut Academy,Basketball Shoes,140,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0832942d-a892-42fa-ba74-c45af519fe1e/AIR+ZOOM+G.T.+CUT+ACADEMY.png",,affordable
Nike Zoom Vomero 5,Men's Shoes,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bd2e5a6c-287f-431b-af24-4f64d11e0220/NIKE+ZOOM+VOMERO+5.png",Bestseller,expensive
Nike Juniper Trail 3,Men's Trail-Running Shoes,130,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/70317bbc-a9ad-47d7-a090-6c9aed3346a2/NIKE+JUNIPER+TRAIL+3.png",Bestseller,affordable
Nike Mercurial Vapor 16 Elite,Firm-Ground Low-Top Football Boot,340,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cc7b8cac-bef4-4b6b-992b-318550c66035/ZM+VAPOR+16+ELITE+FG.png",Bestseller,expensive
Nike Mercurial Superfly 10 Elite,Firm-Ground High-Top Football Boot,360,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/27eb0ba6-7ff2-4cef-bad9-8fd1c9edc0cd/ZM+SUPERFLY+10+ELITE+FG.png",Sustainable Materials,expensive
Nike Mercurial Superfly 10 Academy,Multi-Ground High-Top Football Boot,150,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e67a2408-ce67-40aa-9acc-a24b541f27ae/ZM+SUPERFLY+10+ACAD+FG%2FMG.png",Sustainable Materials,affordable
Nike Calm,Men's Slides,70,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d3bbbc21-03a4-46c6-adc1-3066a1ea7e96/NIKE+CALM+SLIDE.png",Sustainable Materials,cheap
Nike SB Chron 2 Canvas,Skate Shoe,90,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0514eaa6-fb11-4b83-a2de-af3d907fef8f/NIKE+SB+CHRON+2+CNVS.png",Bestseller,cheap
Sabrina 2,Basketball Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/86dcabca-c6ef-45a4-8fce-94b429428c5a/SABRINA+2.png",Bestseller,affordable
Nike Tiempo Legend 10 Academy,Multi-Ground Low-Top Football Boot,91,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7ddb8c00-2cfd-4337-ac40-72f6e6cd7d68/LEGEND+10+ACADEMY+FG%2FMG.png",Sustainable Materials,cheap
Nike Mercurial Vapor 16 Academy,Multi-Ground Low-Top Football Boot,104,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/63cd555f-8f89-4f88-b36c-ed31ea7cd7a5/ZOOM+VAPOR+16+ACADEMY+FG%2FMG.png",Sustainable Materials,affordable
Nike SB Dunk Low Pro,Skate Shoes,170,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8a78e538-030c-468e-ba92-7de7e4ea465c/NIKE+SB+DUNK+LOW+PRO.png",Available in SNKRS,affordable
Nike Gato,Men's Shoes,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ce97ee0d-286f-4802-b891-8132e8303edb/NIKE+GATO.png",Available in SNKRS,affordable
Air Jordan 4 Retro 'White Cement',Men's Shoes,300,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a4b97d0e-0065-4818-90f2-b0778ac48c6b/AIR+JORDAN+4+RETRO.png",Available in SNKRS,expensive
Nike Hypervenom Phantom RGN SE 'Bright Citrus',Firm-Ground Low-Top Football Boot,410,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f110d17f-5db5-4f2f-b60e-818070110130/HYPERVENOM+PHANTOM+RGN+SE+FG.png",Coming Soon,expensive
